article_id,article_title,platform,post_type,article_url,recommended_timing,status,posted_at
11,個人でSNS発信を続けるコツ｜初心者が継続するための5つの基本,threads,共感型,https://note.com/vivid_agapan9603/n/na71e288d4a94?sub_rt=share_pb,翌日,ready,
11,個人でSNS発信を続けるコツ｜初心者が継続するための5つの基本,threads,学び共有型,https://note.com/vivid_agapan9603/n/na71e288d4a94?sub_rt=share_pb,3日後,ready,
11,個人でSNS発信を続けるコツ｜初心者が継続するための5つの基本,threads,ノウハウ型,https://note.com/vivid_agapan9603/n/na71e288d4a94?sub_rt=share_pb,随時,ready,
11,個人でSNS発信を続けるコツ｜初心者が継続するための5つの基本,threads,再告知型,https://note.com/vivid_agapan9603/n/na71e288d4a94?sub_rt=share_pb,7日後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,x,公開直後用,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,公開直後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,x,ノウハウ単体型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,翌日,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,x,共感・悩み型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,3日後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,x,再告知型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,7日後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,x,短文CTA型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,随時,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,threads,公開直後用,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,公開直後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,threads,共感型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,翌日,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,threads,学び共有型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,3日後,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,threads,ノウハウ型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,随時,ready,
12,大人の学び直し(リスキリング)の始め方｜初心者が知っておきたい5つの基本,threads,再告知型,https://note.com/vivid_agapan9603/n/n462f1298e630?sub_rt=share_pb,7日後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,x,公開直後用,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,公開直後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,x,ノウハウ単体型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,翌日,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,x,共感・悩み型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,3日後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,x,再告知型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,7日後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,x,短文CTA型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,随時,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,threads,公開直後用,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,公開直後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,threads,共感型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,翌日,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,threads,学び共有型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,3日後,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,threads,ノウハウ型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,随時,ready,
13,国内一人旅の始め方｜初心者が知っておきたい5つの基本,threads,再告知型,https://note.com/vivid_agapan9603/n/neb201e748225?sub_rt=share_pb,7日後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,x,公開直後用,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,公開直後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,x,ノウハウ単体型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,翌日,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,x,共感・悩み型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,3日後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,x,再告知型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,7日後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,x,短文CTA型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,随時,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,threads,公開直後用,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,公開直後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,threads,共感型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,翌日,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,threads,学び共有型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,3日後,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,threads,ノウハウ型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,随時,ready,
14,ChatGPTを使った資料作成の始め方｜初心者が今日からできる5つの基本,threads,再告知型,https://note.com/vivid_agapan9603/n/n9efb26a75307?sub_rt=share_pb,7日後,ready,
